brewery_type,city,state,country,is_micro
micro,Tumut,NSW,Australia,1
micro,Tumut,NSW,Australia,1
brewpub,Atlantic City,New Jersey,United States,0
micro,Spring City,Pennsylvania,United States,1
brewpub,Harbor Springs,Michigan,United States,0
contract,Bethesda,Maryland,United States,0
micro,McKinney,Texas,United States,1
micro,Fairview,North Carolina,United States,1
micro,Houston,Texas,United States,1
brewpub,Bloomsburg,Pennsylvania,United States,0
planning,Sebring,Florida,United States,0
micro,Anchorage,Alaska,United States,1
micro,Bedford,Texas,United States,1
micro,Nashville,Tennessee,United States,1
brewpub,Rio Rancho,New Mexico,United States,0
micro,La Crosse,Wisconsin,United States,1
micro,Jamaica Plain,Massachusetts,United States,1
planning,Laytonsville,Maryland,United States,0
planning,Boerne,Texas,United States,0
brewpub,Tustin,California,United States,0
planning,Gardiner,New York,United States,0
planning,Santa Cruz,California,United States,0
contract,San Francisco,California,United States,0
brewpub,Decatur,Georgia,United States,0
micro,Farmingdale,New York,United States,1
closed,Spokane,Washington,United States,0
brewpub,Indianapolis,Indiana,United States,0
micro,Concord,North Carolina,United States,1
brewpub,Marion,Ohio,United States,0
brewpub,North Woodstock,New Hampshire,United States,0
micro,Vinton,Virginia,United States,1
micro,Chatham,New Jersey,United States,1
micro,Wilmington,Delaware,United States,1
micro,Asheville,North Carolina,United States,1
brewpub,Catawba Island,Ohio,United States,0
micro,Irving,Texas,United States,1
planning,San Antonio,Texas,United States,0
brewpub,Bellingham,Washington,United States,0
micro,Sterling,Virginia,United States,1
micro,Richmond,Virginia,United States,1
micro,Jasper,Alabama,United States,1
planning,Mount Joy,Pennsylvania,United States,0
closed,Charleston,South Carolina,United States,0
contract,Chicago,Illinois,United States,0
brewpub,Boulder,Colorado,United States,0
micro,Canandaigua,New York,United States,1
micro,Saint Louis,Missouri,United States,1
micro,Oklahoma City,Oklahoma,United States,1
brewpub,Columbia,South Carolina,United States,0
micro,North Palm Beach,Florida,United States,1
micro,West Des Moines,Iowa,United States,1
micro,Dripping Springs,Texas,United States,1
contract,Reno,Nevada,United States,0
brewpub,Hicksville,Ohio,United States,0
brewpub,Onalaska,Wisconsin,United States,0
large,Spotswood,VIC,Australia,0
micro,Mount Pleasant,South Carolina,United States,1
regional,Warrenville,Illinois,United States,0
brewpub,Scottsdale,Arizona,United States,0
micro,Dromana,VIC,Australia,1
micro,Gardena,California,United States,1
planning,Lubbock,Texas,United States,0
planning,Clearlake,California,United States,0
contract,Virginia Beach,Virginia,United States,0
micro,Tarpon Springs,Florida,United States,1
brewpub,Burdett,New York,United States,0
brewpub,Gardiner,Maine,United States,0
micro,Dromana,VIC,Australia,1
micro,Plant City,Florida,United States,1
micro,Sherwood,Oregon,United States,1
planning,Austin,Texas,United States,0
micro,South Lismore,NSW,Australia,1
micro,Akron,Ohio,United States,1
micro,Saint Charles,Missouri,United States,1
micro,Montrose,Colorado,United States,1
brewpub,Easton,Pennsylvania,United States,0
regional,Stratford,Connecticut,United States,0
contract,Allen,Texas,United States,0
micro,Savannah,Georgia,United States,1
micro,Kenilworth,New Jersey,United States,1
micro,Buda,Texas,United States,1
micro,Roseburg,Oregon,United States,1
micro,Centennial,Colorado,United States,1
micro,Dromana,VIC,Australia,1
brewpub,Indianapolis,Indiana,United States,0
brewpub,Wyoming,Michigan,United States,0
micro,Lake Mills,Wisconsin,United States,1
micro,Belle Plaine,Minnesota,United States,1
brewpub,Billings,Montana,United States,0
micro,Traverse City,Michigan,United States,1
regional,Salt Lake City,Utah,United States,0
brewpub,Ukiah,California,United States,0
brewpub,Tampa,Florida,United States,0
taproom,Brighton,East Sussex,England,0
brewpub,Phoenix,Arizona,United States,0
micro,Austin,Texas,United States,1
brewpub,Grapevine,Texas,United States,0
contract,Panama City,Florida,United States,0
closed,Santa Cruz,California,United States,0
planning,Beaver Dam,Kentucky,United States,0
planning,Plymouth,Minnesota,United States,0
micro,Houston,Texas,United States,1
micro,Reno,Nevada,United States,1
brewpub,Reno,Nevada,United States,0
planning,Knoxville,Tennessee,United States,0
nano,Woodinville,Washington,United States,0
brewpub,San Luis Obispo,California,United States,0
micro,Niles,Illinois,United States,1
planning,Ballston Lake,New York,United States,0
planning,Glenwood Springs,Colorado,United States,0
micro,Eagan,Minnesota,United States,1
brewpub,Stevens,Pennsylvania,United States,0
brewpub,Plano,Texas,United States,0
micro,Carmel,Indiana,United States,1
micro,Baltimore,Maryland,United States,1
planning,Plum City,Wisconsin,United States,0
brewpub,Fergus Falls,Minnesota,United States,0
brewpub,Providence,Rhode Island,United States,0
planning,Humboldt,Kansas,United States,0
brewpub,Ashland,Ohio,United States,0
micro,Charlotte,North Carolina,United States,1
brewpub,Plano,Texas,United States,0
closed,Stonington,Connecticut,United States,0
micro,Minnetonka,Minnesota,United States,1
planning,Boulder,Colorado,United States,0
micro,Muskegon,Michigan,United States,1
closed,Tustin,California,United States,0
micro,Anaheim,California,United States,1
contract,Lincolnton,North Carolina,United States,0
micro,Scituate,Massachusetts,United States,1
brewpub,Asheville,North Carolina,United States,0
micro,Bloomington,Indiana,United States,1
regional,Bloomington,Indiana,United States,0
micro,Escanaba,Michigan,United States,1
micro,Kearny,Nebraska,United States,1
micro,Portland,Oregon,United States,1
brewpub,San Jose,California,United States,0
brewpub,Sylvania,Ohio,United States,0
planning,Boulder,Colorado,United States,0
micro,Boulder,Colorado,United States,1
regional,Boulder,Colorado,United States,0
micro,Elmira,New York,United States,1
brewpub,Greenville,South Carolina,United States,0
brewpub,Omaha,Nebraska,United States,0
micro,Greenville,North Carolina,United States,1
micro,Portland,Oregon,United States,1
planning,Livingston Manor,New York,United States,0
planning,Saint Robert,Missouri,United States,0
micro,Docklands,VIC,Australia,1
micro,Cincinnati,Ohio,United States,1
micro,Cape Town,Western Cape,South Africa,1
regional,Saint Louis,Missouri,United States,0
brewpub,Saint Petersburg,Florida,United States,0
micro,Seattle,Washington,United States,1
brewpub,Saint Paul,Minnesota,United States,0
micro,Milwaukee,Wisconsin,United States,1
brewpub,Sauk Rapids,Minnesota,United States,0
planning,Chicago,Illinois,United States,0
brewpub,Saint Louis,Missouri,United States,0
brewpub,Sacramento,California,United States,0
micro,New Orleans,Louisiana,United States,1
brewpub,Philadelphia,Pennsylvania,United States,0
micro,Ferndale,Michigan,United States,1
brewpub,San Marcos,California,United States,0
planning,Duluth,Minnesota,United States,0
micro,Aurora,Colorado,United States,1
brewpub,Oswego,New York,United States,0
regional,Salt Lake City,Utah,United States,0
brewpub,Woodland Park,Colorado,United States,0
micro,Minneapolis,Minnesota,United States,1
brewpub,Ruston,Louisiana,United States,0
brewpub,Ogden,Utah,United States,0
brewpub,Lafayette,Colorado,United States,0
micro,Spokane,Washington,United States,1
brewpub,Keokuk,Iowa,United States,0
micro,Yenda,NSW,Australia,1
brewpub,Oliveira de Azemeis,Aveiro,Portugal,0
brewpub,Salem,Oregon,United States,0
micro,Vail,Colorado,United States,1
micro,Plattsburgh,New York,United States,1
large,McLaren Flat,SA,Australia,0
micro,North Geelong,VIC,Australia,1
micro,Poulsbo,Washington,United States,1
micro,Dallas,Wisconsin,United States,1
micro,Pearland,Texas,United States,1
brewpub,Hopefield,Western Cape,South Africa,0
micro,Yakima,Washington,United States,1
brewpub,Stockton,California,United States,0
micro,Fortitude Valley,QLD,Australia,1
brewpub,Duvall,Washington,United States,0
brewpub,Murphy,North Carolina,United States,0
brewpub,Morrow,Ohio,United States,0
planning,Winthrop,Maine,United States,0
micro,Evandale,TAS,Australia,1
brewpub,Grand Rapids,Michigan,United States,0
micro,Oklahoma City,Oklahoma,United States,1
micro,Wilsonville,Oregon,United States,1
brewpub,Leesburg,Virginia,United States,0
micro,Ludlow,Massachusetts,United States,1
micro,Decatur,Michigan,United States,1
planning,Portland,Oregon,United States,0
micro,Roswell,Georgia,United States,1
micro,Sunnyside,Washington,United States,1
micro,Richmond,Virginia,United States,1
micro,Vashon,Washington,United States,1
brewpub,Morrisville,Pennsylvania,United States,0
brewpub,Carrboro,North Carolina,United States,0
planning,Mamaroneck,New York,United States,0
contract,Venice,California,United States,0
contract,Venice,California,United States,0
micro,Minneapolis,Minnesota,United States,1
micro,Murwillumbah,NSW,Australia,1
micro,Ventura,California,United States,1
closed,Monroe,Connecticut,United States,0
micro,Loveland,Colorado,United States,1
micro,Camp Verde,Arizona,United States,1
micro,Burbank,California,United States,1
brewpub,Burlington,Vermont,United States,0
micro,Vernal,Utah,United States,1
micro,Hillsboro,Oregon,United States,1
micro,Nederland,Colorado,United States,1
closed,Woodinville,Washington,United States,0
proprietor,Chicago,Illinois,United States,0
micro,Ashland,Ohio,United States,1
brewpub,Johnstown,Colorado,United States,0
micro,Jacksonville,Florida,United States,1
large,Miami,Florida,United States,0
planning,Virginia Beach,Virginia,United States,0
micro,Chicago,Illinois,United States,1
micro,Angier,North Carolina,United States,1
brewpub,Vancouver,Washington,United States,0
regional,Downingtown,Pennsylvania,United States,0
brewpub,Kennett Square,Pennsylvania,United States,0
regional,Parkesburg,Pennsylvania,United States,0
brewpub,Marquette,Michigan,United States,0
brewpub,del Mar,California,United States,0
brewpub,Stoughton,Wisconsin,United States,0
large,Villach,K�rnten,Austria,0
micro,Gladesville,NSW,Australia,1
micro,Mount Holly,New Jersey,United States,1
brewpub,Algonquin,Illinois,United States,0
micro,Saint Paul,Minnesota,United States,1
brewpub,Denver,Colorado,United States,0
brewpub,Little Rock,Arkansas,United States,0
brewpub,Madison,Wisconsin,United States,0
brewpub,Sauk City,Wisconsin,United States,0
micro,Hammonton,New Jersey,United States,1
micro,Geneva,Ohio,United States,1
brewpub,Virginia City,Nevada,United States,0
brewpub,Omaha,Nebraska,United States,0
micro,Boulder,Colorado,United States,1
brewpub,Driftwood,Texas,United States,0
planning,Hull,Massachusetts,United States,0
planning,Detroit,Michigan,United States,0
micro,Toowoomba City,QLD,Australia,1
micro,Middletown,Delaware,United States,1
planning,Portland,Oregon,United States,0
brewpub,Portland,Oregon,United States,0
brewpub,Alto Pass,Illinois,United States,0
closed,Twin Falls,Idaho,United States,0
micro,Stowe,Vermont,United States,1
micro,Smithville,Tennessee,United States,1
brewpub,Meadville,Pennsylvania,United States,0
brewpub,Meadville,Pennsylvania,United States,0
micro,Ponca City,Oklahoma,United States,1
brewpub,Grand Marais,Minnesota,United States,0
brewpub,Franklin,New Hampshire,United States,0
micro,Indianapolis,Indiana,United States,1
micro,Saint Paul,Minnesota,United States,1
regional,Westminster,Massachusetts,United States,0
micro,Lancaster,Pennsylvania,United States,1
micro,Waconia,Minnesota,United States,1
closed,Spokane,Washington,United States,0
brewpub,Wadsworth,Ohio,United States,0
micro,Lake Almanor,California,United States,1
micro,West Plains,Missouri,United States,1
micro,Lodi,New York,United States,1
brewpub,Honolulu,Hawaii,United States,0
micro,Honolulu,Hawaii,United States,1
micro,Rock Island,Illinois,United States,1
brewpub,Saint Paul,Minnesota,United States,0
micro,Medford,Oregon,United States,1
micro,Stevenson,Washington,United States,1
micro,Vero Beach,Florida,United States,1
micro,Wallace,Idaho,United States,1
brewpub,Hastings,Michigan,United States,0
brewpub,Hawley,Pennsylvania,United States,0
micro,El Dorado,Kansas,United States,1
micro,Pueblo,Colorado,United States,1
planning,Phoenix,Arizona,United States,0
micro,Forest Grove,Oregon,United States,1
micro,Mullumbimby,NSW,Australia,1
micro,Bellingham,Washington,United States,1
planning,Beavercreek,Ohio,United States,0
micro,Yakima,Washington,United States,1
micro,Pittsfield,Massachusetts,United States,1
planning,Chattanooga,Tennessee,United States,0
micro,Flagstaff,Arizona,United States,1
micro,Halmstad,Halland,Sweden,1
proprietor,Brooklyn,New York,United States,0
brewpub,Geneva,New York,United States,0
brewpub,Saint Clair,Michigan,United States,0
micro,Waseca,Minnesota,United States,1
micro,Gladstone Central,QLD,Australia,1
micro,Gaithersburg,Maryland,United States,1
micro,Hanover,Pennsylvania,United States,1
brewpub,Ketchum,Idaho,United States,0
micro,Dayton,Ohio,United States,1
contract,Munster,Indiana,United States,0
micro,Brooklyn,New York,United States,1
micro,Park City,Utah,United States,1
brewpub,Salt Lake City,Utah,United States,0
brewpub,Salt Lake City,Utah,United States,0
brewpub,Washington,Pennsylvania,United States,0
brewpub,Greencastle,Indiana,United States,0
brewpub,Virginia Beach,Virginia,United States,0
micro,Walla Walla,Washington,United States,1
micro,Milwaukee,Wisconsin,United States,1
brewpub,Grafton,Wisconsin,United States,0
brewpub,Delafield,Wisconsin,United States,0
brewpub,Oak Creek,Wisconsin,United States,0
brewpub,Binghamton,New York,United States,0
micro,Lake Ridge,Virginia,United States,1
brewpub,Key West,Florida,United States,0
micro,Wilmington,North Carolina,United States,1
micro,Elk Grove,California,United States,1
brewpub,Wilmington,North Carolina,United States,0
micro,Stevensville,Michigan,United States,1
micro,Watertown,South Dakota,United States,1
micro,Minlaton,SA,Australia,1
micro,Woodinville,Washington,United States,1
micro,Healesville,VIC,Australia,1
micro,Vista,California,United States,1
micro,Baltimore,Maryland,United States,1
brewpub,Portland,Oregon,United States,0
planning,Fennville,Michigan,United States,0
micro,Camperdown,NSW,Australia,1
micro,New Orleans,Louisiana,United States,1
micro,wayzata,Minnesota,United States,1
proprietor,Wayzata,Minnesota,United States,0
brewpub,Zanesville,Ohio,United States,0
micro,Ghent,West Virginia,United States,1
brewpub,San Antonio,Texas,United States,0
micro,Geneva,New York,United States,1
micro,Asheville,North Carolina,United States,1
micro,Grandy,North Carolina,United States,1
planning,New Braunfels,Texas,United States,0
micro,Greeley,Colorado,United States,1
brewpub,Olympia,Washington,United States,0
brewpub,Artesia,New Mexico,United States,0
micro,Saint Louis,Missouri,United States,1
micro,Tulsa,Oklahoma,United States,1
closed,Stover,Missouri,United States,0
micro,Horsham,West Sussex,England,1
micro,Wenatchee,Washington,United States,1
micro,Plainfield,Illinois,United States,1
micro,Tillamook,Oregon,United States,1
contract,West Bend,Wisconsin,United States,0
micro,South Melbourne,VIC,Australia,1
brewpub,Baltimore,Cork,Ireland,0
contract,Cleveland,Ohio,United States,0
brewpub,Boulder,Colorado,United States,0
micro,West Kill,New York,United States,1
closed,Swanzey,New Hampshire,United States,0
micro,Milford,Iowa,United States,1
brewpub,West Palm Beach,Florida,United States,0
micro,North Kingstown,Rhode Island,United States,1
micro,Seattle,Washington,United States,1
micro,Seattle,Washington,United States,1
micro,Clarence,New York,United States,1
micro,Cincinnati,Ohio,United States,1
micro,Lexington,Kentucky,United States,1
micro,Lexington,Kentucky,United States,1
micro,West Allis,Wisconsin,United States,1
micro,Lewisville,North Carolina,United States,1
brewpub,Idaho Springs,Colorado,United States,0
planning,Denver,Colorado,United States,0
regional,Mount Pleasant,South Carolina,United States,0
taproom,Cheyenne,Wyoming,United States,0
regional,Latrobe,Pennsylvania,United States,0
brewpub,Poulsbo,Washington,United States,0
micro,Sunshine,VIC,Australia,1
micro,Lakewood,Colorado,United States,1
micro,Southwick,Massachusetts,United States,1
micro,Thousand Oaks,California,United States,1
planning,Dallas,Texas,United States,0
micro,Westminster,Colorado,United States,1
micro,Weston,Missouri,United States,1
micro,South Melbourne,VIC,Australia,1
planning,Lolo,Montana,United States,0
micro,Westtown,New York,United States,1
planning,Elkhart,Indiana,United States,0
micro,Gig Harbor,Washington,United States,1
brewpub,Astoria,Oregon,United States,0
micro,Rahway,New Jersey,United States,1
regional,Easton,Pennsylvania,United States,0
micro,Exmouth,WA,Australia,1
micro,South Kingstown,Rhode Island,United States,1
brewpub,Smithfield,Virginia,United States,0
planning,Alexandria,Virginia,United States,0
micro,Thebarton,SA,Australia,1
closed,Wheeling,West Virginia,United States,0
brewpub,Brattleboro,Vermont,United States,0
brewpub,Webster,New York,United States,0
micro,Chicago,Illinois,United States,1
micro,Ballyfermot,Dublin,Ireland,1
micro,Ellensburg,Washington,United States,1
planning,Scottsdale,Arizona,United States,0
planning,Beaver Island,Michigan,United States,0
brewpub,Orlando,Florida,United States,0
micro,Fairview,North Carolina,United States,1
micro,Colorado Springs,Colorado,United States,1
micro,Spokane,Washington,United States,1
planning,Lowell,Arkansas,United States,0
micro,Rozelle,NSW,Australia,1
micro,Rozelle,NSW,Australia,1
closed,Hooksett,New Hampshire,United States,0
micro,Richland,Washington,United States,1
planning,Landenberg,Pennsylvania,United States,0
micro,Boise,Idaho,United States,1
micro,Bozeman,Montana,United States,1
micro,Mount Airy,North Carolina,United States,1
micro,Lincoln,Nebraska,United States,1
brewpub,Hudsonville,Michigan,United States,0
micro,Templemore,Tipperary,Ireland,1
brewpub,Asheville,North Carolina,United States,0
micro,San Diego,California,United States,1
contract,Springfield,Massachusetts,United States,0
brewpub,Baltimore,Maryland,United States,0
brewpub,Ashland,New Hampshire,United States,0
micro,Normal,Illinois,United States,1
large,Geelong,VIC,Australia,0
planning,Warsaw,Indiana,United States,0
micro,Springfield,Missouri,United States,1
brewpub,Dallas,Texas,United States,0
micro,Goodview,Virginia,United States,1
micro,Nevada,Ohio,United States,1
brewpub,Bowling Green,Kentucky,United States,0
micro,Wake Forest,North Carolina,United States,1
micro,Youngsville,North Carolina,United States,1
micro,Berlin,Pennsylvania,United States,1
micro,Cedar Park,Texas,United States,1
micro,Marysville,Washington,United States,1
micro,Hillarys,WA,Australia,1
planning,Houston,Texas,United States,0
planning,Saratoga Springs,New York,United States,0
micro,Houston,Texas,United States,1
brewpub,San Jose,California,United States,0
brewpub,Hampton,New Hampshire,United States,0
micro,Longmont,Colorado,United States,1
brewpub,Wichita,Kansas,United States,0
brewpub,Wichita,Kansas,United States,0
micro,Wichita,Kansas,United States,1
micro,Wichita Falls,Texas,United States,1
brewpub,Jacksonville,Florida,United States,0
brewpub,Cypress,Texas,United States,0
planning,Marana,Arizona,United States,0
micro,Oak Harbor,Washington,United States,1
large,Asheville,North Carolina,United States,0
large,Candler,North Carolina,United States,0
large,Arden,North Carolina,United States,0
large,Arden,North Carolina,United States,0
brewpub,Minneapolis,Minnesota,United States,0
regional,Bray,Wicklow,Ireland,0
brewpub,Riverside,California,United States,0
micro,Goose Creek,South Carolina,United States,1
regional,Portland,Oregon,United States,0
micro,Braintree,Massachusetts,United States,1
micro,Cincinnati,Ohio,United States,1
closed,Temecula,California,United States,0
large,Wieselburg,Nieder�sterreich,Austria,0
micro,Fort Worth,Texas,United States,1
micro,San Marcos,California,United States,1
brewpub,Castle Rock,Colorado,United States,0
brewpub,Georgetown,Texas,United States,0
planning,Brooklyn,New York,United States,0
micro,Decatur,Georgia,United States,1
micro,Yallingup,WA,Australia,1
planning,Titusville,Florida,United States,0
micro,Lagrange,Georgia,United States,1
micro,Minneapolis,Minnesota,United States,1
nano,Everett,Washington,United States,0
micro,Lake Barrington,Illinois,United States,1
micro,Pasadena,California,United States,1
micro,Redmond,Oregon,United States,1
brewpub,Cave Junction,Oregon,United States,0
brewpub,Grants Pass,Oregon,United States,0
micro,Grand Rapids,Ohio,United States,1
closed,O Fallon,Missouri,United States,0
micro,Yallingup,WA,Australia,1
micro,Nellysford,Virginia,United States,1
micro,Boulder,Colorado,United States,1
